date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:21	11270/11270	---M-Z	200	added ('OK')	text/html	etag:%222c06-50ad7e46abc80-gzip%22	https://observatory.astro.utah.edu/description.htm	X:/projects/observatory/observatory/observatory.astro.utah.edu/description.html	(from )
15:34:22	34423/34423	---M-Z	200	added ('OK')	text/html	etag:%228677-5ddaa2869a69a-gzip%22	https://observatory.astro.utah.edu/	X:/projects/observatory/observatory/observatory.astro.utah.edu/index.html	(from )
15:34:22	15814/15814	---M-Z	200	added ('OK')	text/html	etag:%223dc6-586c38c013f14-gzip%22	https://observatory.astro.utah.edu/outreach.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/outreach.html	(from )
15:34:22	1232/1232	---M-Z	200	added ('OK')	text/html	etag:%224d0-4c260b7414680-gzip%22	https://observatory.astro.utah.edu/spocontact.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/spocontact.html	(from )
15:34:22	2817/2817	---M-Z	200	added ('OK')	text/html	etag:%22b01-4e7c97ec31700-gzip%22	https://observatory.astro.utah.edu/visitor.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/visitor.html	(from )
15:34:22	2493/2493	---M-Z	200	added ('OK')	text/html	etag:%229bd-587bbc0ece228-gzip%22	https://observatory.astro.utah.edu/directions.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/directions.html	(from )
15:34:23	305/305	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20May%202022%2021:34:23%20GMT	https://observatory.astro.utah.edu/robots.txt		(from )
15:34:23	2345/2345	---M-Z	200	added ('OK')	text/css	etag:%22929-5c557f8b69410-gzip%22	https://observatory.astro.utah.edu/istyle.css	X:/projects/observatory/observatory/observatory.astro.utah.edu/istyle.css	(from https://observatory.astro.utah.edu/)
15:34:23	804/804	---M-Z	200	added ('OK')	text/css	etag:%22324-5c557f8c5a764-gzip%22	https://observatory.astro.utah.edu/thumbnailviewer.css	X:/projects/observatory/observatory/observatory.astro.utah.edu/thumbnailviewer.css	(from https://observatory.astro.utah.edu/)
15:34:23	7627/7627	---M-Z	200	added ('OK')	application/javascript	etag:%221dcb-5c557f8cca18c-gzip%22	https://observatory.astro.utah.edu/thumbnailviewer.js	X:/projects/observatory/observatory/observatory.astro.utah.edu/thumbnailviewer.js	(from https://observatory.astro.utah.edu/)
15:34:24	22093/22093	---M-Z	200	added ('OK')	application/javascript	etag:%22564d-5c557f8d0f44a-gzip%22	https://observatory.astro.utah.edu/SpryAssets/SpryMenuBar.js	X:/projects/observatory/observatory/observatory.astro.utah.edu/SpryAssets/SpryMenuBar.js	(from https://observatory.astro.utah.edu/)
15:34:24	4634/4634	---M-Z	200	added ('OK')	text/css	etag:%22121a-5c557f8d2b716-gzip%22	https://observatory.astro.utah.edu/SpryAssets/SpryMenuBarVertical.css	X:/projects/observatory/observatory/observatory.astro.utah.edu/SpryAssets/SpryMenuBarVertical.css	(from https://observatory.astro.utah.edu/)
15:34:24	18899/18899	---M--	200	added ('OK')	image/jpeg	etag:%2249d3-5c557f8dbc6bf%22	https://observatory.astro.utah.edu/astroinfo/hhc-home.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/hhc-home.jpg	(from https://observatory.astro.utah.edu/)
15:34:24	28974/28974	---M--	200	added ('OK')	image/jpeg	etag:%22712e-5c557f8ddb81e%22	https://observatory.astro.utah.edu/astroinfo/Ulogo_black.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Ulogo_black.jpg	(from https://observatory.astro.utah.edu/)
15:34:26	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ed80c84c5ce26ef923a62c6c053c889f%22	http://connect.facebook.net/en_US/all.js	X:/projects/observatory/observatory/connect.facebook.net/en_US/all.js	(from https://observatory.astro.utah.edu/)
15:34:26	53084/53084	---M--	200	added ('OK')	image/jpeg	etag:%22cf5c-4c262b3162880%22	https://observatory.astro.utah.edu/astroinfo/OpenSign.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/OpenSign.jpg	(from https://observatory.astro.utah.edu/)
15:34:26	319510/319510	---M--	200	added ('OK')	image/jpeg	etag:%224e016-5c557f8e34234%22	https://observatory.astro.utah.edu/astroinfo/meteroites.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/meteroites.jpg	(from https://observatory.astro.utah.edu/)
15:34:26	275/275	---M-Z	200	added ('OK')	text/html	etag:%22113-4c0c0b69f7540-gzip%22	https://observatory.astro.utah.edu/Solar.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/Solar.html	(from https://observatory.astro.utah.edu/)
15:34:26	284/284	---M-Z	200	added ('OK')	text/html	etag:%2211c-4c0c2446c9dc0-gzip%22	https://observatory.astro.utah.edu/Solar-bryce.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/Solar-bryce.html	(from https://observatory.astro.utah.edu/)
15:34:26	407/407	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20May%202022%2021:34:27%20GMT	https://observatory.astro.utah.edu/astro/leonidbolide.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/astro/leonidbolide.html	(from https://observatory.astro.utah.edu/)
15:34:27	18881/18881	---M--	200	added ('OK')	image/jpeg	etag:%2249c1-5e0043b018680%22	https://stereo.gsfc.nasa.gov/beacon/latest_256/ahead_euvi_304_latest.jpg	X:/projects/observatory/observatory/stereo.gsfc.nasa.gov/beacon/latest_256/ahead_euvi_304_latest.jpg	(from https://observatory.astro.utah.edu/)
15:34:28	280/280	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20May%202022%2021:49:33%20GMT	http://stereo.gsfc.nasa.gov/beacon/latest_256/ahead_euvi_195_latest.jpg	X:/projects/observatory/observatory/stereo.gsfc.nasa.gov/beacon/latest_256/ahead_euvi_195_latest.13.delayed	(from https://observatory.astro.utah.edu/)
15:34:28	17129/17129	---M--	200	added ('OK')	image/jpeg	etag:%2242e9-5e004cee294c0%22	https://stereo.gsfc.nasa.gov/beacon/latest_256/ahead_euvi_195_latest.jpg	X:/projects/observatory/observatory/stereo.gsfc.nasa.gov/beacon/latest_256/ahead_euvi_195_latest.jpg	(from https://observatory.astro.utah.edu/)
15:34:29	63439/63439	---M--	200	added ('OK')	image/jpeg	etag:%22f7cf-5e004eda3a806%22	https://sdo.gsfc.nasa.gov/assets/img/latest/latest_512_0304.jpg	X:/projects/observatory/observatory/sdo.gsfc.nasa.gov/assets/img/latest/latest_512_0304.jpg	(from https://observatory.astro.utah.edu/)
15:34:29	244/244	---M--	302	error ('Found')	text/html	date:Fri,%2027%20May%202022%2021:34:29%20GMT	https://sohowww.nascom.nasa.gov/data/LATEST/current_c2small.gif	X:/projects/observatory/observatory/sohowww.nascom.nasa.gov/data/LATEST/current_c2small.16.delayed	(from https://observatory.astro.utah.edu/)
15:34:30	32985/32985	---M--	200	added ('OK')	image/jpeg	etag:%2280d9-5c557f8e46e9f%22	https://observatory.astro.utah.edu/astroinfo/skywatch.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/skywatch.jpg	(from https://observatory.astro.utah.edu/)
15:34:35	19929/19929	---M--	200	added ('OK')	image/jpeg	etag:%224dd9-5c557f8e6180c%22	https://observatory.astro.utah.edu/astroinfo/st.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/st.jpg	(from https://observatory.astro.utah.edu/)
15:34:36	29229/29229	---M--	200	added ('OK')	image/gif	date:Fri,%2027%20May%202022%2017:27:08%20GMT	http://www.cleardarksky.com/c/SaltLakeUTcsk.gif?c=2458844	X:/projects/observatory/observatory/www.cleardarksky.com/c/SaltLakeUTcskd10e.gif	(from https://observatory.astro.utah.edu/)
15:34:42	14505/14505	---M-Z	200	added ('OK')	text/html	etag:%2238a9-514ea05565500-gzip%22	https://observatory.astro.utah.edu/sun.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/sun.html	(from https://observatory.astro.utah.edu/)
15:34:43	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20May%202022%2021:34:43%20GMT	http://sohowww.nascom.nasa.gov/data/realtime/eit_304/512/latest.jpg	X:/projects/observatory/observatory/sohowww.nascom.nasa.gov/data/realtime/eit_304/512/latest.1d.delayed	(from https://observatory.astro.utah.edu/)
15:34:48	249/249	---M--	302	error ('Found')	text/html	date:Fri,%2027%20May%202022%2021:34:43%20GMT	https://sohowww.nascom.nasa.gov/data/realtime/eit_304/512/latest.jpg	X:/projects/observatory/observatory/sohowww.nascom.nasa.gov/data/realtime/eit_304/512/latest.1e.delayed	(from https://observatory.astro.utah.edu/)
15:35:02	109831/109831	---M--	200	added ('OK')	image/jpeg	etag:%221ad07-5e003a159418c%22	https://soho.nascom.nasa.gov/data/realtime/eit_304/512/latest.jpg	X:/projects/observatory/observatory/soho.nascom.nasa.gov/data/realtime/eit_304/512/latest.jpg	(from https://observatory.astro.utah.edu/)
15:35:04	1826/1826	---M-Z	200	added ('OK')	text/html	etag:%22722-4fa7f100e3600-gzip%22	https://observatory.astro.utah.edu/ssplanets.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/ssplanets.html	(from https://observatory.astro.utah.edu/)
15:35:20	126993/126993	---M--	200	added ('OK')	image/gif	etag:%221f011-5c557f8ea65bf%22	https://observatory.astro.utah.edu/astroinfo/Earth-23-june.gif	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Earth-23-june.gif	(from https://observatory.astro.utah.edu/)
15:35:21	1798/1798	---M-Z	200	added ('OK')	text/html	etag:%22706-4b2c7b0020100-gzip%22	https://observatory.astro.utah.edu/SSO.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/SSO.html	(from https://observatory.astro.utah.edu/)
15:35:25	33804/33804	---M--	200	added ('OK')	image/jpeg	etag:%22840c-5c557f8ec6a71%22	https://observatory.astro.utah.edu/astroinfo/Asteroid460.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Asteroid460.jpg	(from https://observatory.astro.utah.edu/)
15:35:34	26190/26190	---M-Z	200	added ('OK')	text/html	etag:%22664e-514ea18a62e00-gzip%22	https://observatory.astro.utah.edu/Stars.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/Stars.html	(from https://observatory.astro.utah.edu/)
15:35:38	36837/36837	---M--	200	added ('OK')	image/jpeg	etag:%228fe5-5c557f8ee68c7%22	https://observatory.astro.utah.edu/astroinfo/cambells.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/cambells.jpg	(from https://observatory.astro.utah.edu/)
15:35:46	6501/6501	---M-Z	200	added ('OK')	text/html	etag:%221965-514ea1e037880-gzip%22	https://observatory.astro.utah.edu/exoplanet.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/exoplanet.html	(from https://observatory.astro.utah.edu/)
15:35:50	38596/38596	---M--	200	added ('OK')	image/jpeg	etag:%2296c4-5c557f8f02b44%22	https://observatory.astro.utah.edu/astroinfo/exoplanet.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/exoplanet.jpg	(from https://observatory.astro.utah.edu/)
15:35:58	8331/8331	---M-Z	200	added ('OK')	text/html	etag:%22208b-514ea212c2fc0-gzip%22	https://observatory.astro.utah.edu/nebula.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/nebula.html	(from https://observatory.astro.utah.edu/)
15:36:01	19078/19078	---M--	200	added ('OK')	image/jpeg	etag:%224a86-5c557f8f1db16%22	https://observatory.astro.utah.edu/astroinfo/M8.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/M8.jpg	(from https://observatory.astro.utah.edu/)
15:36:09	5320/5320	---M-Z	200	added ('OK')	text/html	etag:%2214c8-514ea25490b00-gzip%22	https://observatory.astro.utah.edu/clusters.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/clusters.html	(from https://observatory.astro.utah.edu/)
15:36:10	15020/15020	---M-Z	200	added ('OK')	text/html	etag:%223aac-514eada3eba00-gzip%22	https://observatory.astro.utah.edu/galaxy.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/galaxy.html	(from https://observatory.astro.utah.edu/)
15:36:16	40751/40751	---M--	200	added ('OK')	image/jpeg	etag:%229f2f-5c557f8f307b1%22	https://observatory.astro.utah.edu/astroinfo/m15.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/m15.jpg	(from https://observatory.astro.utah.edu/)
15:36:16	41853/41853	---M--	200	added ('OK')	image/jpeg	etag:%22a37d-5c557f8f4d9d1%22	https://observatory.astro.utah.edu/astroinfo/ngc2403.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/ngc2403.jpg	(from https://observatory.astro.utah.edu/)
15:36:25	7461/7461	---M-Z	200	added ('OK')	text/html	etag:%221d25-514eb0be54c40-gzip%22	https://observatory.astro.utah.edu/universe.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/universe.html	(from https://observatory.astro.utah.edu/)
15:36:25	5075/5075	---M-Z	200	added ('OK')	text/html	etag:%2213d3-479e16de26a40-gzip%22	https://observatory.astro.utah.edu/paul.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/paul.html	(from https://observatory.astro.utah.edu/)
15:36:43	4175/4175	---M-Z	200	added ('OK')	text/html	etag:%22104f-485f6cd42d1c0-gzip%22	https://observatory.astro.utah.edu/phys4060.html	X:/projects/observatory/observatory/observatory.astro.utah.edu/phys4060.html	(from https://observatory.astro.utah.edu/)
15:37:03	3944/3944	---M-Z	200	added ('OK')	text/html	etag:%22f68-4c2507bbd0500-gzip%22	https://observatory.astro.utah.edu/astrolink.htm	X:/projects/observatory/observatory/observatory.astro.utah.edu/astrolink.html	(from https://observatory.astro.utah.edu/)
15:37:03	1494/1494	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20Nov%202011%2009:42:09%20GMT	http://jg.revolvermaps.com/t.js	X:/projects/observatory/observatory/jg.revolvermaps.com/t.js	(from https://observatory.astro.utah.edu/)
15:37:06	331774/331774	---M--	200	added ('OK')	image/gif	etag:%2250ffe-5c557f8f89f78%22	https://observatory.astro.utah.edu/astroinfo/universe_expand.gif	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/universe_expand.gif	(from https://observatory.astro.utah.edu/)
15:37:06	18409/18409	---M--	200	added ('OK')	image/jpeg	etag:%2247e9-5c557f8fa305a%22	https://observatory.astro.utah.edu/astroinfo/PGR0003.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/PGR0003.jpg	(from https://observatory.astro.utah.edu/)
15:37:14	45808/45808	---M--	200	added ('OK')	image/jpeg	etag:%22b2f0-5c557f8feb77b%22	https://observatory.astro.utah.edu/astroinfo/Veil1.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Veil1.jpg	(from https://observatory.astro.utah.edu/)
15:37:32	153330/153330	---M--	200	added ('OK')	image/jpeg	etag:%22256f2-5c557f8fcbea8%22	https://observatory.astro.utah.edu/astroinfo/PGR0003-L.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/PGR0003-L.jpg	(from https://observatory.astro.utah.edu/)
15:37:37	26932/26932	---M--	200	added ('OK')	image/jpeg	etag:%226934-5c557f905fc1c%22	https://observatory.astro.utah.edu/astroinfo/Dumbbell%20enhanced.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Dumbbell%20enhanced.jpg	(from https://observatory.astro.utah.edu/)
15:38:15	2057068/2057068	---M--	200	added ('OK')	image/gif	etag:%221f636c-5bb279f764440%22	http://images.intellicast.com/WxImages/SatelliteLoop/hipacsat_None_anim.gif	X:/projects/observatory/observatory/images.intellicast.com/WxImages/SatelliteLoop/hipacsat_None_anim.gif	(from https://observatory.astro.utah.edu/)
15:38:15	265419/265419	---M--	200	added ('OK')	image/jpeg	etag:%2240ccb-5c557f9090575%22	https://observatory.astro.utah.edu/astroinfo/Dumbbell%20enhanced%20L.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Dumbbell%20enhanced%20L.jpg	(from https://observatory.astro.utah.edu/)
15:38:15	650212/650212	---M--	200	added ('OK')	image/jpeg	etag:%229ebe4-5c557f904d016%22	https://observatory.astro.utah.edu/astroinfo/Veil%20L.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Veil%20L.jpg	(from https://observatory.astro.utah.edu/)
15:38:15	31412/31412	---M--	200	added ('OK')	image/jpeg	etag:%227ab4-5c557f90b768e%22	https://observatory.astro.utah.edu/astroinfo/Dumbbell%20Colored.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Dumbbell%20Colored.jpg	(from https://observatory.astro.utah.edu/)
15:38:16	440477/440477	---M--	200	added ('OK')	image/jpeg	etag:%226b89d-5c557f910224e%22	https://observatory.astro.utah.edu/astroinfo/Dumbbell%20Colored%20L.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Dumbbell%20Colored%20L.jpg	(from https://observatory.astro.utah.edu/)
15:38:16	271620/271620	---M--	200	added ('OK')	image/jpeg	etag:%2242504-5c557f9346ff3%22	https://observatory.astro.utah.edu/astroinfo/IMG_0991.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/IMG_0991.jpg	(from https://observatory.astro.utah.edu/)
15:38:16	2082/2082	---M--	200	added ('OK')	image/jpeg	etag:%22822-5c557f9359f6e%22	https://observatory.astro.utah.edu/astroinfo/Eclipse_4-4-15-P-ricketts.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Eclipse_4-4-15-P-ricketts.jpg	(from https://observatory.astro.utah.edu/)
15:38:16	59019/59019	---M--	200	added ('OK')	image/jpeg	etag:%22e68b-5c557f9373a0d%22	https://observatory.astro.utah.edu/astroinfo/eclipse_4-4-15-p-ricketts2.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/eclipse_4-4-15-p-ricketts2.jpg	(from https://observatory.astro.utah.edu/)
15:38:17	156428/156428	---M--	200	added ('OK')	image/jpeg	etag:%222630c-5c557f939bf0f%22	https://observatory.astro.utah.edu/astroinfo/Asteroid_2004%20BL86.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Asteroid_2004%20BL86.jpg	(from https://observatory.astro.utah.edu/)
15:38:17	21732/21732	---M--	200	added ('OK')	image/jpeg	etag:%2254e4-5c557f93b355a%22	https://observatory.astro.utah.edu/astroinfo/Comet_Lovejoy_2015.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Comet_Lovejoy_2015.jpg	(from https://observatory.astro.utah.edu/)
15:38:17	4256829/4256829	---M--	200	added ('OK')	image/jpeg	etag:%2240f43d-5c557f931006b%22	https://observatory.astro.utah.edu/astroinfo/IMG_0991%20copy.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/IMG_0991%20copy.jpg	(from https://observatory.astro.utah.edu/)
15:38:17	52822/52822	---M--	200	added ('OK')	image/jpeg	etag:%22ce56-5c557f93d311f%22	https://observatory.astro.utah.edu/astroinfo/Cellphone_luna.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Cellphone_luna.jpg	(from https://observatory.astro.utah.edu/)
15:38:17	52822/52822	---M--	200	added ('OK')	image/jpeg	etag:%22ce56-5c557f93f2525%22	https://observatory.astro.utah.edu/astroinfo/Cellphone_luna_large.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Cellphone_luna_large.jpg	(from https://observatory.astro.utah.edu/)
15:38:17	54778/54778	---M--	200	added ('OK')	image/jpeg	etag:%22d5fa-5c557f940de1d%22	https://observatory.astro.utah.edu/astroinfo/Jupitermoontransit.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Jupitermoontransit.jpg	(from https://observatory.astro.utah.edu/)
15:38:18	23002/23002	---M--	200	added ('OK')	image/jpeg	etag:%2259da-5c557f94254ba%22	https://observatory.astro.utah.edu/astroinfo/Jupiter_moon_transit_shadow.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Jupiter_moon_transit_shadow.jpg	(from https://observatory.astro.utah.edu/)
15:38:18	20527/20527	---M--	200	added ('OK')	image/jpeg	etag:%22502f-5c557f944399d%22	https://observatory.astro.utah.edu/astroinfo/Jupiter_moon_transit_shadow_large.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Jupiter_moon_transit_shadow_large.jpg	(from https://observatory.astro.utah.edu/)
15:38:18	57439/57439	---M--	200	added ('OK')	image/jpeg	etag:%22e05f-5c557f9462e56%22	https://observatory.astro.utah.edu/astroinfo/Eclipse-10-8-14.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Eclipse-10-8-14.jpg	(from https://observatory.astro.utah.edu/)
15:38:18	267581/267581	---M--	200	added ('OK')	image/jpeg	etag:%224153d-5c557f94a516c%22	https://observatory.astro.utah.edu/astroinfo/M97.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/M97.jpg	(from https://observatory.astro.utah.edu/)
15:38:19	250294/250294	---M--	200	added ('OK')	image/jpeg	etag:%223d1b6-5c557f94d2777%22	https://observatory.astro.utah.edu/astroinfo/m99.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/m99.jpg	(from https://observatory.astro.utah.edu/)
15:38:19	337472/337472	---M--	200	added ('OK')	image/jpeg	etag:%2252640-5c557f95054c2%22	https://observatory.astro.utah.edu/astroinfo/ngc3169-2%20copy.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/ngc3169-2%20copy.jpg	(from https://observatory.astro.utah.edu/)
15:38:19	279026/279026	---M--	200	added ('OK')	image/jpeg	etag:%22441f2-5c557f95397ce%22	https://observatory.astro.utah.edu/astroinfo/orion%20neb%20copy.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/orion%20neb%20copy.jpg	(from https://observatory.astro.utah.edu/)
15:38:19	88780/88780	---M--	200	added ('OK')	image/jpeg	etag:%2215acc-5c557f95593eb%22	https://observatory.astro.utah.edu/astroinfo/Eclipse-4-15-14.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Eclipse-4-15-14.jpg	(from https://observatory.astro.utah.edu/)
15:38:19	31993/31993	---M--	200	added ('OK')	image/jpeg	etag:%227cf9-5c557f95766d8%22	https://observatory.astro.utah.edu/astroinfo/Sol%203-14-14a.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Sol%203-14-14a.jpg	(from https://observatory.astro.utah.edu/)
15:38:20	311214/311214	---M--	200	added ('OK')	image/jpeg	etag:%224bfae-5c557f95b31ed%22	https://observatory.astro.utah.edu/astroinfo/Sol%203-14-14.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/Sol%203-14-14.jpg	(from https://observatory.astro.utah.edu/)
15:38:20	556274/556274	---M--	200	added ('OK')	image/jpeg	etag:%2287cf2-5c557f9605356%22	https://observatory.astro.utah.edu/astroinfo/M82--Supernova.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/M82--Supernova.jpg	(from https://observatory.astro.utah.edu/)
15:38:20	13008/13008	---M--	200	added ('OK')	image/jpeg	etag:%2232d0-5c557f9625a40%22	https://observatory.astro.utah.edu/astroinfo/m16.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/m16.jpg	(from https://observatory.astro.utah.edu/)
15:38:20	29844/29844	---M--	200	added ('OK')	image/jpeg	etag:%227494-5c557f96cc358%22	https://observatory.astro.utah.edu/astroinfo/transit4.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/transit4.jpg	(from https://observatory.astro.utah.edu/)
15:38:20	1079498/1079498	---M--	200	added ('OK')	image/jpeg	etag:%221078ca-5c557f96b414e%22	https://observatory.astro.utah.edu/astroinfo/m16-large.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/m16-large.jpg	(from https://observatory.astro.utah.edu/)
15:38:21	29563/29563	---M--	200	added ('OK')	image/jpeg	etag:%22737b-5c557f96e4e8c%22	https://observatory.astro.utah.edu/astroinfo/transit5-130.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/transit5-130.jpg	(from https://observatory.astro.utah.edu/)
15:38:21	9474/9474	---M--	200	added ('OK')	image/jpeg	etag:%222502-5c557f974b5d8%22	https://observatory.astro.utah.edu/pics/paul/m57.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/pics/paul/m57.jpg	(from https://observatory.astro.utah.edu/)
15:38:21	770013/770013	---M--	200	added ('OK')	image/jpeg	etag:%22bbfdd-5c557f97b4f5a%22	https://observatory.astro.utah.edu/pics/paul/m57-large.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/pics/paul/m57-large.jpg	(from https://observatory.astro.utah.edu/)
15:38:21	7121/7121	---M--	200	added ('OK')	image/jpeg	etag:%221bd1-5c557f97cd233%22	https://observatory.astro.utah.edu/pics/paul/M20.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/pics/paul/M20.jpg	(from https://observatory.astro.utah.edu/)
15:38:22	346244/346244	---M--	200	added ('OK')	image/jpeg	etag:%2254884-5c557f9808810%22	https://observatory.astro.utah.edu/pics/paul/M20-large.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/pics/paul/M20-large.jpg	(from https://observatory.astro.utah.edu/)
15:38:22	16511500/16511500	---M--	200	added ('OK')	image/gif	etag:%22fbf20c-5e00458641bc0%22	https://soho.nascom.nasa.gov/data/LATEST/current_c2small.gif	X:/projects/observatory/observatory/soho.nascom.nasa.gov/data/LATEST/current_c2small.gif	(from https://observatory.astro.utah.edu/)
15:38:22	11293/11293	---M--	200	added ('OK')	image/jpeg	etag:%222c1d-5c557f982182e%22	https://observatory.astro.utah.edu/pics/paul/M27-1.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/pics/paul/M27-1.jpg	(from https://observatory.astro.utah.edu/)
15:38:22	965212/965212	---M--	200	added ('OK')	image/jpeg	etag:%22eba5c-5c557f98ae1f1%22	https://observatory.astro.utah.edu/pics/paul/M27-1-large.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/pics/paul/M27-1-large.jpg	(from https://observatory.astro.utah.edu/)
15:38:22	39215/39215	---M--	200	added ('OK')	image/jpeg	etag:%22992f-5c557f98d47a2%22	https://observatory.astro.utah.edu/astroinfo/2013_08_14_16_35_00.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/astroinfo/2013_08_14_16_35_00.jpg	(from https://observatory.astro.utah.edu/)
15:38:23	109380/109380	---M--	200	added ('OK')	image/jpeg	etag:%221ab44-42dd2979eee40%22	https://observatory.astro.utah.edu/pics/paul/IMG_0047%20352.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/pics/paul/IMG_0047%20352.jpg	(from https://observatory.astro.utah.edu/description.htm)
15:38:23	158529/158529	---M--	200	added ('OK')	image/jpeg	etag:%2226b41-59847daab26a5%22	https://observatory.astro.utah.edu/pics/paul/dome500.JPG	X:/projects/observatory/observatory/observatory.astro.utah.edu/pics/paul/dome500.jpg	(from https://observatory.astro.utah.edu/description.htm)
15:38:23	190885/190885	---M--	200	added ('OK')	image/jpeg	etag:%222e9a5-43520434a21c0%22	https://observatory.astro.utah.edu/pics/paul/14intele.jpg	X:/projects/observatory/observatory/observatory.astro.utah.edu/pics/paul/14intele.jpg	(from https://observatory.astro.utah.edu/description.htm)
